구분번호,대통령,글제목,연설일자,원문보기,연설장소
1305504,박정희,크리스마스 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264146600041466013433.PDF,국내
1305490,박정희,한글반포 518주년 기념일에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149700041497013464.PDF,국내
1305451,박정희,1964년도 육군대학 졸업식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145800041458013425.PDF,국내
1305383,박정희,제2회 지방장관회단 유시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139000041390013357.PDF,국내
1305368,박정희,제5대 대통령 취임식 대통령 취임사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264137500041375013342.PDF,국내
1305369,박정희,국회 개회식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264137600041376013343.PDF,국내
1305468,박정희,제2회 체육상 시상식 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264147500041475013442.PDF,국내
1305478,박정희,제9회 현충일 추념사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264148500041485013452.PDF,국내
1305493,박정희,국립경찰 창설 제19주년 기념 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264150000041500013467.PDF,국내
1305373,박정희,여당 국회의원에게 보내는 서신,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138000041380013347.PDF,국내
1305374,박정희,1964년 대통령 연두교서,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138100041381013348.PDF,국내
1305392,박정희,공산학정하의 피압막민족해방 궐기대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264139900041399013366.PDF,국내
1305393,박정희,비상계엄령 해제에 즈음한 담화문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140000041400013367.PDF,국내
1305395,박정희,광복 제19주년에 즈음하여 해외동포에게 보내는 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140200041402013369.PDF,국내
1305396,박정희,1965년도 예산안과 1964년도 제1회 추경예산안 제출에 즈음한 시정연설문,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140300041403013370.PDF,국내
1305424,박정희,식량증산 연찬대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264143100041431013398.PDF,국내
1305443,박정희,제3회 농업협동조합 경진대회 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264145000041450013417.PDF,국내
1305375,박정희,자유의 날 10주년에 즈음한 메시지,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138200041382013349.PDF,국내
1305412,박정희,[방독]베를린시장이 베푼 만찬회에서의 인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264141900041419013386.PDF,국제
1305402,박정희,[방독]출발인사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264140900041409013376.PDF,국제
1305488,박정희,철도창설 제65주년 기념 치사,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264149500041495013462.PDF,국내
1305378,박정희,국가안전보장회의 훈시,1964-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264138500041385013352.PDF,국내
1305507,박정희,어린이들에게 부치는 신년 메시지,1965-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264151400041514013481.PDF,국내
1305506,박정희,해외교포 및 유학생에게 보내는 신년 메시지,1965-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264151300041513013480.PDF,국내
1305505,박정희,신년 메시지,1965-01-01,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264151200041512013479.PDF,국내
1305508,박정희,적십자회원모집과 회비수납에 즈음한 담화문,1965-01-10,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264151500041515013482.PDF,국내
1305509,박정희,1965년 대통령 연두교서,1965-01-16,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264151600041516013483.PDF,국내
1305510,박정희,전국산업인대회 치사,1965-01-22,http://dams.pa.go.kr:8888/dams/DOCUMENT/2009/11/26/DOC/SRC/0104200911264151700041517013484.PDF,국내
